In,Heb,Eng,TAZ,Centrioid-X,Centrioid-Y
1,חולון,HOLON,2855,178926.4773,656788.1623
2,חולון,HOLON,2854,178891.9618,657312.2801
3,חולון,HOLON,2853,178471.412,656676.5592
4,חולון,HOLON,2852,178189.6834,657260.8124
5,חולון,HOLON,2847,178669.5722,657538.8503
6,חולון,HOLON,2848,178230.7588,657729.9452
7,חולון,HOLON,2872,179360.0962,655825.382
8,חולון,HOLON,2867,179372.0692,656715.0504
9,חולון,HOLON,2868,178858.5499,656078.8037
10,חולון,HOLON,2866,180068.4353,656426.0951
11,חולון,HOLON,2845,179461.3224,657301.4988
12,חולון,HOLON,2846,178991.1106,657554.1869
13,חולון,HOLON,2856,179953.9747,657152.54
14,חולון,HOLON,2831,179054.6585,658045.2944
15,חולון,HOLON,2844,179576.5048,657809.9278
16,חולון,HOLON,2842,180008.3136,657640.4461
17,ראשון לציון,RISHON LEZIYYON,5316,179290.955,654342.933
18,ראשון לציון,RISHON LEZIYYON,5307,179869.0787,654799.4326
19,ראשון לציון,RISHON LEZIYYON,5306,180469.8163,654780.9338
20,ראשון לציון,RISHON LEZIYYON,5317,180137.9817,654263.5696
21,ראשון לציון,RISHON LEZIYYON,5334,179924.8716,653438.479
22,ראשון לציון,RISHON LEZIYYON,5318,181017.1618,654286.2857
23,חולון,HOLON,2874,180742.5347,655643.2914
24,חולון,HOLON,2873,180008.2913,655704.7605
25,ראשון לציון,RISHON LEZIYYON,5308,179416.5314,654961.4323
26,ראשון לציון,RISHON LEZIYYON,5305,181651.3486,655202.426
27,חולון,HOLON,2861,180922.0386,656681.7698
28,חולון,HOLON,2857,180136.4317,656865.6371
29,חולון,HOLON,2841,180160.8574,657434.4032
30,חולון,HOLON,2859,180610.4271,657247.9723
31,חולון,HOLON,2858,180251.0447,657159.77
32,חולון,HOLON,2843,180125.4565,657737.0502
33,חולון,HOLON,2836,180171.6527,658030.0684
34,חולון,HOLON,2865,181065.2197,656285.5725
35,חולון,HOLON,2864,181885.7893,656273.3182
36,חולון,HOLON,2860,180755.2402,657178.6544
37,חולון,HOLON,2862,181380.011,657178.3956
38,חולון,HOLON,2840,180610.211,657835.123
39,חולון,HOLON,2837,180690.8143,658200.7416
