Fuel type,Engine capacity,Standart,COLD,%Taxi,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Petrol,<1400 cc,Euro 0,37.046992,0,0.0008,126.54,137.18,146.88,153.83,133.99,139.89,378.26,297.12,297.12,176.54,160.29,147.97,184.34,181.42,167.49,378.26,378.26,315.25,230.64,183.41,169.04,230.79,202.91,209.52,378.26,378.26,378.26,141.14,147.22,167.74,138.23,146.35,154.21,297.12,297.12,297.12
Petrol,<1400 cc,Euro 1,37.046992,0,0.0002,122.24,132.57,142,148.57,129.45,135.2,362.89,285.1,285.1,170.1,154.63,142.93,177.38,174.74,161.52,362.89,362.89,302.43,221.72,176.48,162.89,221.72,195.04,201.52,362.89,362.89,362.89,136.48,142.39,162.23,133.63,141.52,149.15,285.1,285.1,285.1
Petrol,<1400 cc,Euro 2,37.046992,0,0.0007,115.3,125.09,134.04,140.09,122.1,127.57,339.87,267.06,267.06,160.01,145.63,134.8,166.64,164.32,152.07,339.87,339.87,283.25,208.09,165.79,153.25,207.96,183.02,189.24,339.87,339.87,339.87,128.85,134.45,153.18,126.11,133.61,140.83,267.06,267.06,267.06
Petrol,<1400 cc,Euro 3,37.046992,0,0.0062,109.82,119.19,127.77,133.4,116.31,121.56,321.42,252.61,252.61,152,138.5,128.37,158.08,156.04,144.59,321.42,321.42,267.87,197.2,157.27,145.59,196.95,173.43,179.45,321.42,321.42,321.42,122.84,128.21,146.07,120.19,127.38,134.29,252.61,252.61,252.61
Petrol,<1400 cc,Euro 4,37.046992,0,0.0274,105.05,114.06,122.31,127.56,111.26,116.32,305.23,239.94,239.94,145,132.28,122.78,150.6,148.81,138.05,305.23,305.23,254.38,187.68,149.82,138.9,187.32,165.04,170.88,305.23,305.23,305.23,117.62,122.77,139.88,115.04,121.96,128.6,239.94,239.94,239.94
Petrol,<1400 cc,Euro 5,37.046992,0.0003,0.0938,101.13,109.85,117.85,122.77,107.12,112.03,291.72,229.36,229.36,139.22,127.16,118.19,144.39,142.82,132.67,291.72,291.72,243.12,179.76,143.65,133.38,179.3,158.06,163.77,291.72,291.72,291.72,113.34,118.34,134.82,110.82,117.53,123.95,229.36,229.36,229.36
Petrol,<1400 cc,Euro 6,37.046992,0.0017,0.1782,96.93,105.31,112.99,117.66,102.67,107.4,278.58,219.05,219.05,133.25,121.79,113.27,138.11,136.68,127.04,278.58,278.58,232.17,171.85,137.39,127.67,171.35,151.09,156.61,278.58,278.58,278.58,108.69,113.48,129.3,106.25,112.71,118.87,219.05,219.05,219.05
Petrol,1400-2000 cc,Euro 0,37.046992,0,0.0012,171.51,185.93,199.07,208.5,181.61,189.61,512.69,402.71,402.71,239.28,217.26,200.56,249.85,245.89,227.01,512.69,512.69,427.28,312.61,248.59,229.11,312.8,275.01,283.97,512.69,512.69,512.69,191.3,199.54,227.35,187.36,198.37,209.01,402.71,402.71,402.71
Petrol,1400-2000 cc,Euro 1,37.046992,0,0.0008,155.27,168.39,180.36,188.71,164.42,171.72,460.92,362.11,362.11,216.05,196.4,181.55,225.3,221.95,205.15,460.92,460.92,384.14,281.62,224.16,206.9,281.62,247.73,255.97,460.92,460.92,460.92,173.35,180.85,206.05,169.72,179.76,189.44,362.11,362.11,362.11
Petrol,1400-2000 cc,Euro 2,37.046992,0,0.0044,145.79,158.17,169.48,177.14,154.39,161.3,429.74,337.68,337.68,202.32,184.14,170.44,210.7,207.78,192.29,429.74,429.74,358.15,263.11,209.63,193.77,262.95,231.42,239.28,429.74,429.74,429.74,162.92,170,193.69,159.46,168.94,178.07,337.68,337.68,337.68
Petrol,1400-2000 cc,Euro 3,37.046992,0,0.0305,136.92,148.61,159.3,166.32,145.01,151.56,400.75,314.95,314.95,189.52,172.68,160.06,197.1,194.55,180.27,400.75,400.75,333.98,245.88,196.09,181.52,245.57,216.24,223.74,400.75,400.75,400.75,153.16,159.85,182.12,149.86,158.82,167.44,314.95,314.95,314.95
Petrol,1400-2000 cc,Euro 4,37.046992,0.0003,0.1194,126.84,137.72,147.69,154.03,134.34,140.46,368.57,289.72,289.72,175.09,159.73,148.25,181.84,179.68,166.7,368.57,368.57,307.16,226.62,180.91,167.72,226.18,199.28,206.33,368.57,368.57,368.57,142.02,148.25,168.9,138.91,147.27,155.28,289.72,289.72,289.72
Petrol,1400-2000 cc,Euro 5,37.046992,0.0021,0.1499,121.86,132.36,141.99,147.93,129.07,134.99,351.5,276.36,276.36,167.75,153.22,142.4,173.98,172.09,159.86,351.5,351.5,292.94,216.6,173.08,160.71,216.04,190.45,197.32,351.5,351.5,351.5,136.57,142.58,162.45,133.53,141.62,149.35,276.36,276.36,276.36
Petrol,1400-2000 cc,Euro 6,37.046992,0.1104,0.2328,115.67,125.67,134.84,140.41,122.53,128.17,332.44,261.4,261.4,159.02,145.34,135.17,164.81,163.11,151.61,332.44,332.44,277.06,205.08,163.96,152.36,204.48,180.31,186.89,332.44,332.44,332.44,129.7,135.43,154.3,126.8,134.5,141.85,261.4,261.4,261.4
Petrol,>2000 cc,Euro 0,37.046992,0,0.0013,213.18,231.11,247.44,259.17,225.73,235.68,637.27,500.56,500.56,297.42,270.05,249.29,310.56,305.64,282.17,637.27,637.27,531.1,388.57,309,284.78,388.81,341.84,352.97,637.27,637.27,637.27,237.78,248.03,282.59,232.88,246.57,259.8,500.56,500.56,500.56
Petrol,>2000 cc,Euro 1,37.046992,0,0.0005,205.95,223.35,239.23,250.3,218.09,227.77,611.37,480.31,480.31,286.57,260.5,240.8,298.84,294.39,272.11,611.37,611.37,509.52,373.54,297.33,274.42,373.54,328.58,339.51,611.37,611.37,611.37,229.93,239.88,273.31,225.12,238.43,251.27,480.31,480.31,480.31
Petrol,>2000 cc,Euro 2,37.046992,0,0.0011,194.25,210.74,225.82,236.02,205.71,214.92,572.58,449.92,449.92,269.57,245.34,227.09,280.74,276.84,256.2,572.58,572.58,477.19,350.57,279.31,258.18,350.35,308.34,318.82,572.58,572.58,572.58,217.07,226.51,258.07,212.46,225.1,237.26,449.92,449.92,449.92
