Fuel type,Engine capacity,Standart,COLD,%Taxi,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Petrol,<1400 cc,Euro 0,37.046992,0,0.0008,40.36181183,43.75551376,46.84896469,49.06810608,42.73817978,44.62090988,120.6541183,94.77175293,94.77175293,56.31111374,51.1289566,47.19853668,58.7993042,57.86669693,53.4233551,120.6541183,120.6541183,100.5538269,73.56833801,58.50286026,53.9178688,73.61345978,64.7206131,66.82905502,120.6541183,120.6541183,120.6541183,45.01867065,46.95972977,53.50264206,44.09228363,46.68273163,49.18827972,94.77175293,94.77175293,94.77175293
Petrol,<1400 cc,Euro 1,37.046992,0,0.0002,38.99217987,42.28718262,45.2942688,47.38977966,41.2904686,43.12431107,115.7506088,90.93678436,90.93678436,54.25700302,49.32147446,45.59109421,56.57964783,55.73732758,51.51970444,115.7506088,115.7506088,96.46722717,70.72231293,56.29297409,51.95697327,70.7221283,62.21054153,64.27995911,115.7506088,115.7506088,115.7506088,43.53257141,45.41744995,51.74547653,42.62230377,45.14162827,47.57280579,90.93678436,90.93678436,90.93678436
Petrol,<1400 cc,Euro 2,37.046992,0,0.0007,36.77699814,39.90041885,42.75429764,44.6849678,38.9471489,40.69101944,108.4079269,85.18407288,85.18407288,51.038871,46.45079727,42.99552002,53.15270462,52.4138031,48.50679321,108.4079269,108.4079269,90.34778137,66.37328415,52.88204803,48.88088531,66.33163757,58.37892075,60.36158066,108.4079269,108.4079269,108.4079269,41.09882202,42.88580322,48.86109619,40.22575989,42.61786499,44.92101669,85.18407288,85.18407288,85.18407288
Petrol,<1400 cc,Euro 3,37.046992,0,0.0062,35.02913666,38.01903534,40.75415726,42.54925003,37.09846802,38.77305984,102.5219925,80.57436371,80.57436371,48.48330536,44.17745514,40.94684601,50.42313461,49.77251511,46.11913452,102.5219925,102.5219925,85.44241028,62.90187378,50.1650795,46.43876038,62.82252045,55.3198349,57.23775406,102.5219925,102.5219925,102.5219925,39.18323975,40.89407501,46.59186249,38.33777847,40.63141785,42.83476715,80.57436371,80.57436371,80.57436371
Petrol,<1400 cc,Euro 4,37.046992,0,0.0274,33.50649414,36.38077393,39.01321793,40.68817139,35.48810425,37.1029686,97.36047363,76.53264008,76.53264008,46.25101166,42.19399719,39.16190414,48.03584518,47.46460114,44.0353241,97.36047363,97.36047363,81.14077301,59.86307983,47.78876343,44.30579834,59.74903717,52.64173431,54.50462646,97.36047363,97.36047363,97.36047363,37.51623535,39.16114044,44.61747894,36.6941803,38.90274277,41.01959915,76.53264008,76.53264008,76.53264008
Petrol,<1400 cc,Euro 5,37.046992,0.0003,0.0938,32.25812912,35.03920441,37.58924484,39.16106796,34.16806946,35.73541107,93.05109406,73.15958252,73.15958252,44.40709076,40.56087723,37.6979393,46.05707245,45.55653,42.31816711,93.05109406,93.05109406,77.5493103,57.33813782,45.81895447,42.54447174,57.19146194,50.41594696,52.23683929,93.05109406,93.05109406,93.05109406,36.15350418,37.74529495,43.00435638,35.34916611,37.4895874,39.53655319,73.15958252,73.15958252,73.15958252
Petrol,<1400 cc,Euro 6,37.046992,0.0017,0.1782,30.9180027,33.5902153,36.04186172,37.52879868,32.74964142,34.25794449,88.8574234,69.86939392,69.86939392,42.50419388,38.84645081,36.12947083,44.05275726,43.59677277,40.52332001,88.8574234,88.8574234,74.05428925,54.8144249,43.82441101,40.72381744,54.65610046,48.19428024,49.95270615,88.8574234,88.8574234,88.8574234,34.66839294,36.1979805,41.24145355,33.89126282,35.94956818,37.91580811,69.86939392,69.86939392,69.86939392
Petrol,1400-2000 cc,Euro 0,37.046992,0,0.0012,54.70564575,59.30540085,63.49820786,66.50599976,57.92652893,60.47834854,163.5323334,128.4518585,128.4518585,76.32303162,69.29923553,63.97201385,79.69548035,78.43144531,72.40901642,163.5323334,163.5323334,136.2887985,99.71316223,79.29367981,73.07927246,99.7743103,87.72111359,90.57885132,163.5323334,163.5323334,163.5323334,61.0174675,63.64833908,72.5164917,59.76185913,63.27289734,66.66887054,128.4518585,128.4518585,128.4518585
Petrol,1400-2000 cc,Euro 1,37.046992,0,0.0008,49.52602768,53.71118317,57.5306366,60.19226151,52.44520493,54.77446136,147.0209595,115.5036179,115.5036179,68.91467743,62.64580917,57.90765762,71.86479187,70.79491577,65.4378952,147.0209595,147.0209595,122.5281067,89.82814789,71.50067139,65.99328842,89.82790985,79.01689148,81.64536896,147.0209595,147.0209595,147.0209595,55.29301376,57.68709869,65.72466125,54.13683624,57.33676376,60.4247345,115.5036179,115.5036179,115.5036179
Petrol,1400-2000 cc,Euro 2,37.046992,0,0.0044,46.50216141,50.45151825,54.06006699,56.5012764,49.24617996,51.4511879,137.0748749,107.7098053,107.7098053,64.53538132,58.73405685,54.36508026,67.20819321,66.27389297,61.33372955,137.0748749,137.0748749,114.2389832,83.92477112,66.86595764,61.80674667,83.87210846,73.81640778,76.3233551,137.0748749,137.0748749,137.0748749,51.9668335,54.22635345,61.78172684,50.86289673,53.88756104,56.79974899,107.7098053,107.7098053,107.7098053
Petrol,1400-2000 cc,Euro 3,37.046992,0,0.0305,43.67471237,47.40255508,50.81272659,53.05087433,46.25477905,48.34267273,127.8255463,100.4610153,100.4610153,60.44951324,55.08093948,51.05297241,62.86811829,62.05691376,57.50184784,127.8255463,127.8255463,106.5305344,78.42675018,62.54637146,57.90036011,78.32781219,68.97338181,71.36466064,127.8255463,127.8255463,127.8255463,48.8540947,50.98718414,58.09124451,47.79996643,50.65970154,53.40686035,100.4610153,100.4610153,100.4610153
Petrol,1400-2000 cc,Euro 4,37.046992,0.0003,0.1194,40.45851364,43.9291626,47.10778809,49.1302681,42.85127945,44.80120316,117.5611008,92.41184845,92.41184845,55.84730759,50.94853287,47.28732758,58.00246277,57.31269226,53.17190247,117.5611008,117.5611008,97.97609711,72.28364258,57.70411301,53.49849396,72.14592896,63.56399231,65.81339951,117.5611008,117.5611008,117.5611008,45.30021133,47.28641129,53.87484283,44.30759277,46.97439499,49.53046036,92.41184845,92.41184845,92.41184845
Petrol,1400-2000 cc,Euro 5,37.046992,0.0021,0.1499,38.86808395,42.21902695,45.29159698,47.18550034,41.16939316,43.05789185,112.1180359,88.15059357,88.15059357,53.50647278,48.8721405,45.42255783,55.49455109,54.89143524,50.98951797,112.1180359,112.1180359,93.43980713,69.08720245,55.20763779,51.26218567,68.910466,60.746595,62.94059906,112.1180359,112.1180359,112.1180359,43.56165695,45.47961349,51.8163063,42.59250488,45.17152176,47.63792191,88.15059357,88.15059357,88.15059357
Petrol,1400-2000 cc,Euro 6,37.046992,0.1104,0.2328,36.89634628,40.08525772,43.01095886,44.78541107,39.08215027,40.88210068,106.0390152,83.37942505,83.37942505,50.72285538,46.35784836,43.11550903,52.57085114,52.0266922,48.35895462,106.0390152,106.0390152,88.37351837,65.41341248,52.2983551,48.59822769,65.22447281,57.51318588,59.61162338,106.0390152,106.0390152,106.0390152,41.37191772,43.19726334,49.2159523,40.44451904,42.90082245,45.24725876,83.37942505,83.37942505,83.37942505
