Fuel type,Engine capacity,Standart,COLD,%Taxi,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Petrol,<1400 cc,Euro 0,0.199599044,0,0.0008,0.628270507,0.793831527,0.981552005,1.046561956,0.660593987,0.774015009,1.393771529,1.302080989,1.302080989,0.793359935,0.917003989,0.908325016,0.902183712,0.982558489,0.903622508,1.393771529,1.393771529,1.263404965,1.172423959,0.871018529,0.944377482,0.963451505,0.924676478,1.320841551,1.393771529,1.393771529,1.393771529,0.903754473,1.025408983,1.381842017,0.835906506,1.010856032,1.174651504,1.302080989,1.302080989,1.302080989
Petrol,<1400 cc,Euro 1,0.199599044,0,0.0002,0.177860007,0.216659993,0.209729999,0.228080004,0.197620004,0.188749999,0.499430001,0.396950006,0.396950006,0.222614303,0.232570007,0.230729997,0.258962393,0.243410006,0.253509998,0.499430001,0.499430001,0.429720014,0.360159993,0.254720002,0.244829997,0.320030004,0.291649997,0.302289993,0.499430001,0.499430001,0.499430001,0.21266,0.251459986,0.332800001,0.210109994,0.229890004,0.280110002,0.396950006,0.396950006,0.396950006
Petrol,<1400 cc,Euro 2,0.199599044,0,0.0007,0.107089996,0.087119997,0.092749998,0.121359996,0.098889999,0.094559997,0.377429992,0.297580004,0.297580004,0.159812093,0.142330006,0.11045,0.188755602,0.164039999,0.141169995,0.377429992,0.377429992,0.315990001,0.234940007,0.184750006,0.137630001,0.234789997,0.216839999,0.212170005,0.377429992,0.377429992,0.377429992,0.082199998,0.081940003,0.103440002,0.087949999,0.085089996,0.091870002,0.297580004,0.297580004,0.297580004
Petrol,<1400 cc,Euro 3,0.199599044,0,0.0062,0.03303,0.02703,0.02815,0.037519999,0.030409999,0.028899999,0.116570003,0.092160001,0.092160001,0.04931578,0.043260001,0.033989999,0.05842502,0.050700001,0.04332,0.116570003,0.116570003,0.097340003,0.072609998,0.05703,0.042750001,0.072339997,0.066760004,0.065410003,0.116570003,0.116570003,0.116570003,0.024979999,0.024809999,0.03063,0.02709,0.025970001,0.02746,0.092160001,0.092160001,0.092160001
Petrol,<1400 cc,Euro 4,0.199599044,0,0.0274,0.021439999,0.021229999,0.02318,0.039820001,0.02142,0.02148,0.078110002,0.071280003,0.071280003,0.040127069,0.037409998,0.034150001,0.044784911,0.042100001,0.041549999,0.078110002,0.078110002,0.072360002,0.060849998,0.040279999,0.037999999,0.050319999,0.046560001,0.054669999,0.078110002,0.078110002,0.078110002,0.02124,0.020889999,0.025250001,0.021880001,0.02361,0.02373,0.071280003,0.071280003,0.071280003
Petrol,<1400 cc,Euro 5,0.199599044,0.0003,0.0938,0.01516818,0.01356304,0.01359501,0.018127911,0.01462001,0.01416298,0.046964861,0.03740222,0.03740222,0.020298149,0.02040758,0.016654231,0.025243349,0.022750551,0.01897832,0.046964861,0.046964861,0.038397308,0.03080027,0.025225511,0.01800843,0.030851681,0.027867051,0.0273569,0.046964861,0.046964861,0.046964861,0.01176481,0.009483265,0.008750724,0.01351092,0.01211831,0.0100403,0.03740222,0.03740222,0.03740222
Petrol,<1400 cc,Euro 6,0.199599044,0.0017,0.1782,0.01516818,0.01356304,0.01359501,0.018127911,0.01462001,0.01416298,0.046964861,0.03740222,0.03740222,0.020298149,0.02040758,0.016654231,0.025243349,0.022750551,0.01897832,0.046964861,0.046964861,0.038397308,0.03080027,0.025225511,0.01800843,0.030851681,0.027867051,0.0273569,0.046964861,0.046964861,0.046964861,0.01176481,0.009483265,0.008750724,0.01351092,0.01211831,0.0100403,0.03740222,0.03740222,0.03740222
Petrol,1400-2000 cc,Euro 0,0.199599044,0,0.0012,0.628270507,0.793831527,0.981552005,1.046561956,0.660593987,0.774015009,1.393771529,1.302080989,1.302080989,0.793359935,0.917003989,0.908325016,0.902183712,0.982558489,0.903622508,1.393771529,1.393771529,1.263404965,1.172423959,0.871018529,0.944377482,0.963451505,0.924676478,1.320841551,1.393771529,1.393771529,1.393771529,0.903754473,1.025408983,1.381842017,0.835906506,1.010856032,1.174651504,1.302080989,1.302080989,1.302080989
Petrol,1400-2000 cc,Euro 1,0.199599044,0,0.0008,0.177860007,0.216659993,0.209729999,0.228080004,0.197620004,0.188749999,0.499430001,0.396950006,0.396950006,0.222614303,0.232570007,0.230729997,0.258962393,0.243410006,0.253509998,0.499430001,0.499430001,0.429720014,0.360159993,0.254720002,0.244829997,0.320030004,0.291649997,0.302289993,0.499430001,0.499430001,0.499430001,0.21266,0.251459986,0.332800001,0.210109994,0.229890004,0.280110002,0.396950006,0.396950006,0.396950006
Petrol,1400-2000 cc,Euro 2,0.199599044,0,0.0044,0.107089996,0.087119997,0.092749998,0.121359996,0.098889999,0.094559997,0.377429992,0.297580004,0.297580004,0.159812093,0.142330006,0.11045,0.188755602,0.164039999,0.141169995,0.377429992,0.377429992,0.315990001,0.234940007,0.184750006,0.137630001,0.234789997,0.216839999,0.212170005,0.377429992,0.377429992,0.377429992,0.082199998,0.081940003,0.103440002,0.087949999,0.085089996,0.091870002,0.297580004,0.297580004,0.297580004
