Fuel type,Engine capacity,Standart,COLD,%Taxi,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Petrol,<1400 cc,Euro 0,0.002121143,0,0.0008,0.01321,0.022460001,0.028729999,0.0264,0.01378,0.01557,0.00792,0.015769999,0.015769999,0.007460651,0.01405,0.02461,0.006779278,0.01122,0.0232,0.00792,0.00792,0.00934,0.01052,0.00543,0.01027,0.00671,0.00723,0.01302,0.00792,0.00792,0.00792,0.027380001,0.034589998,0.039530002,0.02366,0.035440002,0.040429998,0.015769999,0.015769999,0.015769999
Petrol,<1400 cc,Euro 1,0.002121143,0,0.0002,0.0078,0.00887,0.0147,0.01343,0.00736,0.01061,0.00567,0.00796,0.00796,0.004093912,0.0079,0.01418,0.004576607,0.00628,0.01215,0.00567,0.00567,0.00679,0.00484,0.00341,0.00441,0.00319,0.00491,0.00693,0.00567,0.00567,0.00567,0.01521,0.021779999,0.02483,0.01225,0.01911,0.023560001,0.00796,0.00796,0.00796
Petrol,<1400 cc,Euro 2,0.002121143,0,0.0007,0.01134,0.01357,0.02276,0.021269999,0.0101,0.0163,0.00662,0.01057,0.01057,0.006056718,0.0115,0.021880001,0.006463928,0.00922,0.01853,0.00662,0.00662,0.00878,0.00687,0.00447,0.00669,0.00399,0.00618,0.01003,0.00662,0.00662,0.00662,0.024080001,0.03554,0.041200001,0.018999999,0.030579999,0.038430002,0.01057,0.01057,0.01057
Petrol,<1400 cc,Euro 3,0.002121143,0,0.0062,0.00443,0.00462,0.00779,0.00746,0.0036,0.00593,0.0034,0.0043,0.0043,0.002297038,0.0042,0.00724,0.002551835,0.00343,0.00707,0.0034,0.0034,0.0038,0.00281,0.00201,0.00249,0.00187,0.00284,0.00391,0.0034,0.0034,0.0034,0.00839,0.01231,0.01408,0.00648,0.01049,0.01313,0.0043,0.0043,0.0043
Petrol,<1400 cc,Euro 4,0.002121143,0,0.0274,0.00203,0.00256,0.00438,0.00348,0.00226,0.00275,0.00155,0.00265,0.00265,0.001180892,0.00204,0.00346,0.000908915,0.00175,0.00324,0.00155,0.00155,0.00121,0.00148,0.00117,0.00171,0.00116,0.00114,0.00188,0.00155,0.00155,0.00155,0.00505,0.00608,0.00768,0.00372,0.0056,0.0062,0.00265,0.00265,0.00265
Petrol,<1400 cc,Euro 5,0.002121143,0.0003,0.0938,0.001979522,0.002469661,0.002635073,0.002948187,0.002129113,0.002311202,0.002778828,0.002524399,0.002524399,0.002404901,0.0024283,0.002951989,0.002181306,0.002337914,0.00278909,0.002778828,0.002778828,0.002699063,0.00259091,0.001986484,0.002253815,0.002215811,0.001996162,0.002758413,0.002778828,0.002778828,0.002778828,0.003067811,0.003751389,0.004164059,0.002608022,0.00320582,0.003852256,0.002524399,0.002524399,0.002524399
Petrol,<1400 cc,Euro 6,0.002121143,0.0017,0.1782,0.001979522,0.002469661,0.002635073,0.002948187,0.002129113,0.002311202,0.002778828,0.002524399,0.002524399,0.002404901,0.0024283,0.002951989,0.002181306,0.002337914,0.00278909,0.002778828,0.002778828,0.002699063,0.00259091,0.001986484,0.002253815,0.002215811,0.001996162,0.002758413,0.002778828,0.002778828,0.002778828,0.003067811,0.003751389,0.004164059,0.002608022,0.00320582,0.003852256,0.002524399,0.002524399,0.002524399
Petrol,1400-2000 cc,Euro 0,0.002121143,0,0.0012,0.01321,0.022460001,0.028729999,0.0264,0.01378,0.01557,0.00792,0.015769999,0.015769999,0.007460651,0.01405,0.02461,0.006779278,0.01122,0.0232,0.00792,0.00792,0.00934,0.01052,0.00543,0.01027,0.00671,0.00723,0.01302,0.00792,0.00792,0.00792,0.027380001,0.034589998,0.039530002,0.02366,0.035440002,0.040429998,0.015769999,0.015769999,0.015769999
Petrol,1400-2000 cc,Euro 1,0.002121143,0,0.0008,0.0078,0.00887,0.0147,0.01343,0.00736,0.01061,0.00567,0.00796,0.00796,0.004093912,0.0079,0.01418,0.004576607,0.00628,0.01215,0.00567,0.00567,0.00679,0.00484,0.00341,0.00441,0.00319,0.00491,0.00693,0.00567,0.00567,0.00567,0.01521,0.021779999,0.02483,0.01225,0.01911,0.023560001,0.00796,0.00796,0.00796
Petrol,1400-2000 cc,Euro 2,0.002121143,0,0.0044,0.01134,0.01357,0.02276,0.021269999,0.0101,0.0163,0.00662,0.01057,0.01057,0.006056718,0.0115,0.021880001,0.006463928,0.00922,0.01853,0.00662,0.00662,0.00878,0.00687,0.00447,0.00669,0.00399,0.00618,0.01003,0.00662,0.00662,0.00662,0.024080001,0.03554,0.041200001,0.018999999,0.030579999,0.038430002,0.01057,0.01057,0.01057
Petrol,1400-2000 cc,Euro 3,0.002121143,0,0.0305,0.00443,0.00462,0.00779,0.00746,0.0036,0.00593,0.0034,0.0043,0.0043,0.002297038,0.0042,0.00724,0.002551835,0.00343,0.00707,0.0034,0.0034,0.0038,0.00281,0.00201,0.00249,0.00187,0.00284,0.00391,0.0034,0.0034,0.0034,0.00839,0.01231,0.01408,0.00648,0.01049,0.01313,0.0043,0.0043,0.0043
