Aimsun,Ex,Sim
18360284,1101,1
18360285,1102,2
18360286,1103,3
18360287,1104,4
18360288,1105,5
18360289,1106,6
18360290,1107,7
18360291,1108,8
18360292,1109,9
18360293,1110,10
18360294,1111,11
18360295,1112,12
18360296,1113,13
18360297,1114,14
18360298,1115,15
18360299,1116,16
18360300,1117,17
18360301,1118,18
18360302,1119,19
18360303,1120,20
18360304,1121,21
18360305,1122,22
18360306,1123,23
18360307,1124,24
18360308,1125,25
18360309,1126,26
18360310,1201,27
18360311,1202,28
18360312,1203,29
18360313,1204,30
18360314,1205,31
18360315,1206,32
18360316,1207,33
18360317,1208,34
18360318,1209,35
18360319,1210,36
18360320,1211,37
18360321,1212,38
18360322,1213,39
18360323,1214,40
18360324,1215,41
18360325,1216,42
18360326,1217,43
18360327,1218,44
18360329,1220,45
18360330,1301,46
18360331,1302,47
18360332,1303,48
18360333,1304,49
18360334,1305,50
18360335,1306,51
18360336,1307,52
18360337,1308,53
18360338,1309,54
18360339,1310,55
18360340,1311,56
18360341,1312,57
18360342,1313,58
18360343,1314,59
18360344,1315,60
18360345,1316,61
18360346,1317,62
18360347,1318,63
18360348,1319,64
18360349,1320,65
18360350,1321,66
18360351,1322,67
18360352,1323,68
18360353,1324,69
18360354,1325,70
18360355,1326,71
18360356,1327,72
18360357,1328,73
18360358,1329,74
18360359,1330,75
18360360,1401,76
18360362,1403,77
18360363,1404,78
18360364,1405,79
18360365,1406,80
18360366,1407,81
18360367,1408,82
18360368,1409,83
18360369,1410,84
18360370,1411,85
18360371,1412,86
18360372,1413,87
18360373,1414,88
18360374,1415,89
18360375,1416,90
18360376,1417,91
18360377,1418,92
18360378,1419,93
18360379,1420,94
18360380,1421,95
18360381,1501,96
18360382,1502,97
18360383,1503,98
18360384,1504,99
18360385,1505,100
18360386,1506,101
18360387,1507,102
18360388,1508,103
18360389,1509,104
18360390,1510,105
18360391,1511,106
18360392,1512,107
18360393,1513,108
18360394,1514,109
18360395,1515,110
18360396,1516,111
18360397,1517,112
18360398,1518,113
18360399,1519,114
18360400,1520,115
18360401,1521,116
18360402,1522,117
18360403,1523,118
18360404,1524,119
18360405,1525,120
18360406,1526,121
18360407,1527,122
18360408,1601,123
18360409,1602,124
18360410,1603,125
18360411,1604,126
18360412,1605,127
18360413,1606,128
18360414,1607,129
18360415,1608,130
18360416,1609,131
18360417,1610,132
18360418,1611,133
18360419,1612,134
18360420,1613,135
18360421,1701,136
18360422,1702,137
18360423,1703,138
18360424,1704,139
18360425,1705,140
18360426,1706,141
18360427,1707,142
18360428,1708,143
18360429,1709,144
18360430,1710,145
18360431,1711,146
18360432,1712,147
18360433,1713,148
18360434,1714,149
18360435,1715,150
18360436,1716,151
18360437,1717,152
18360438,1718,153
18360439,1719,154
18360440,1720,155
18360441,1721,156
18360442,1722,157
18360443,1723,158
18360444,1724,159
18360445,1725,160
18360446,1726,161
18360447,1727,162
18360448,1801,163
18360449,1802,164
18360450,1803,165
18360451,1804,166
18360452,1805,167
18360453,1806,168
18360454,1807,169
18360455,1808,170
18360456,1809,171
18360457,1810,172
18360458,1811,173
18360459,1812,174
18360460,1813,175
18360461,1814,176
18360462,1815,177
18360463,1816,178
18360464,1817,179
18360465,1818,180
18360466,1901,181
18360467,1902,182
18360468,1903,183
18360469,1904,184
18360470,1905,185
18360471,1906,186
18360472,1907,187
18360473,1908,188
18360474,1909,189
18360475,1910,190
18360476,1911,191
18360477,1912,192
18360478,1913,193
18360479,1914,194
18360480,1915,195
18360481,1916,196
18360482,1917,197
18360484,1919,198
18360485,1920,199
18360486,1921,200
18360487,1922,201
18360488,1923,202
18360489,1924,203
18360490,1925,204
18360491,1926,205
18360492,1927,206
18360493,1928,207
18360494,1929,208
18360495,1930,209
18360496,1931,210
18360497,1932,211
18360498,1933,212
18360499,1934,213
18360500,1935,214
18360501,1936,215
18360502,1937,216
18360504,1939,217
18360505,2001,218
18360506,2002,219
18360507,2003,220
18360508,2004,221
18360509,2005,222
18360510,2006,223
18360512,2008,224
18360513,2009,225
18360514,2010,226
18360515,2011,227
18360516,2012,228
18360517,2013,229
18360518,2014,230
18360519,2015,231
18360520,2016,232
18360521,2017,233
18360522,2018,234
18360523,2019,235
18360524,2020,236
18360525,2021,237
18360526,2022,238
18360527,2023,239
18360528,2024,240
18360529,2025,241
18360530,2026,242
18360531,2027,243
18360532,2028,244
18360533,2029,245
18360534,2030,246
18360535,2031,247
18360536,2032,248
18360537,2033,249
18360538,2034,250
18360539,2035,251
18360541,2037,252
18360542,2038,253
18360543,2039,254
18360544,2040,255
18360545,2041,256
18360546,2042,257
18360547,2043,258
18360548,2044,259
18360549,2045,260
18360552,2048,261
18360553,2101,262
18360554,2102,263
18360555,2103,264
18360556,2104,265
18360557,2105,266
18360558,2106,267
18360559,2107,268
18360560,2108,269
18360561,2109,270
18360562,2110,271
18360563,2111,272
18360565,2113,273
18360567,2115,274
18360568,2116,275
18360569,2117,276
18360570,2118,277
18360571,2119,278
18360572,2120,279
18360573,2121,280
18360574,2122,281
18360575,2123,282
18360577,2125,283
18360578,2126,284
18360579,2127,285
18360580,2201,286
18360581,2202,287
18360582,2203,288
18360583,2204,289
18360584,2205,290
18360585,2206,291
